datetime,lst_median_C,lst_mean_C,lst_mean_uncertainty,lst_std,bootstrap_ci_lower,bootstrap_ci_upper,n_valid_pixels
2016-04-19 14:12:00,-14.212011718749977,-13.970103790800408,0.17922034455558,4.370366690577657,,,59
2016-04-19 19:15:00,-25.105993652343727,-25.020976145674524,0.18121952145564846,1.95864788740359,,,41
2016-04-19 20:56:00,-26.46600189208982,-25.201731625118754,0.18240541642582095,3.2475728105119006,,,74
2016-04-20 12:05:00,-12.346990966796852,-11.731051073576225,0.17952632158994675,4.595804696411019,,,38
2016-04-20 13:46:00,-13.501989746093727,-12.993381292169715,0.17930909666148098,5.051524900850385,,,55
2016-04-20 20:30:00,-26.832006835937477,-26.479967226300886,0.181607152734484,1.6167371419050898,,,56
2016-04-20 22:11:00,-20.23399963378904,-20.381190454392197,0.18102381857378141,3.4305550099851816,,,84
2016-04-21 11:39:00,-9.768011474609352,-9.259857064706296,0.17881481956552575,5.134121357177065,,,54
2016-04-21 13:20:00,-11.833990478515602,-10.230740469473346,0.1787407453413363,4.704780247097786,,,54
2016-04-21 20:04:00,-19.50200500488279,-18.945199584960903,0.1812000095844269,2.6055290111074227,,,5
2016-04-21 21:45:00,-15.747991943359352,-16.70088390003548,0.1803636442531239,3.596865281365033,,,77
2016-04-22 12:54:00,-8.929998779296852,-7.915272660688913,0.17927273295142435,2.773442401828648,,,22
2016-04-22 14:35:00,,,,,,,0
2016-04-22 19:38:00,,,,,,,0
2016-04-22 21:19:00,,,,,,,0
2016-04-23 12:27:00,,,,,,,0
2016-04-23 14:08:00,,,,,,,0
2016-04-23 19:11:00,,,,,,,0
2016-04-23 20:52:00,-8.301000976562477,-8.869505310058571,0.18000000715255737,2.3360258622520034,,,4
2016-04-24 12:01:00,-4.178015136718727,-4.178015136718727,0.17800000309944153,0.0,,,1
2016-04-24 13:42:00,-3.0960144042968523,-3.507526506696422,0.17809524138768515,3.4761855734777747,,,21
2016-04-24 20:26:00,-13.332006835937477,-13.068702189127578,0.18010000735521317,1.3677115263753188,,,60
2016-04-24 22:07:00,-11.023992919921852,-11.43148359133869,0.17990124152030473,2.4343482966613377,,,81
2016-04-25 11:35:00,-9.187994384765602,-8.529225510817298,0.178769235427563,1.4703328918512808,,,13
2016-04-25 13:16:00,-4.548010253906227,-4.224834283792745,0.17841509828027688,3.3482338302039576,,,53
2016-04-25 20:00:00,,,,,,,0
2016-04-25 21:41:00,-23.317999267578102,-23.0047573605099,0.18227028162092776,0.7630820462264667,,,37
2016-04-26 12:50:00,,,,,,,0
2016-04-26 14:31:00,-15.463995361328102,-15.463995361328102,0.18000000715255737,0.0,,,1
2016-04-26 19:34:00,-10.773992919921852,-10.83214751452931,0.17907317600599149,1.5898571847934204,,,41
2016-04-26 21:15:00,,,,,,,0
2016-04-27 12:24:00,-13.441992187499977,-13.103771737905618,0.1793846212900602,2.5894242823221045,,,52
2016-04-27 14:05:00,-11.367987060546852,-11.866641235351551,0.1793600055575371,1.739725776789808,,,50
2016-04-27 19:08:00,,,,,,,0
2016-04-27 20:49:00,-11.418005371093727,-10.953522019159209,0.180095245440801,1.7748577133202217,,,21
2016-04-28 11:58:00,-1.7699951171874773,-1.2541870117187273,0.17800000309944153,2.0552049671696677,,,53
2016-04-28 13:39:00,0.028009033203147737,-0.9476319284149781,0.17815151878378607,2.699759515668644,,,66
2016-04-28 20:22:00,-7.274999999999977,-7.151864539252358,0.1793888948029942,1.2125575632266188,,,72
2016-04-28 22:03:00,-9.116003417968727,-8.274025726318314,0.17967500649392604,2.1802249747499336,,,80
2016-04-29 11:31:00,,,,,,,0
2016-04-29 13:12:00,-7.273992919921852,-6.950261466733821,0.17838710065810912,2.853434196615554,,,31
2016-04-29 19:56:00,,,,,,,0
2016-04-29 21:37:00,,,,,,,0
2016-05-01 12:20:00,,,,,,,0
2016-05-01 14:01:00,-17.351995849609352,-17.351995849609352,0.18000000715255737,0.0,,,3
2016-05-01 19:04:00,,,,,,,0
2016-05-01 20:45:00,,,,,,,0
2016-05-02 11:54:00,,,,,,,0
2016-05-02 13:35:00,,,,,,,0
2016-05-02 20:19:00,,,,,,,0
2016-05-02 22:00:00,-26.008001708984352,-25.878522922681697,0.18347827442314313,0.4810883998654996,,,23
2016-05-03 11:28:00,,,,,,,0
2016-05-03 13:09:00,-13.799993896484352,-14.350277792440863,0.17935135678665057,1.611976374367268,,,37
2016-05-03 19:53:00,,,,,,,0
2016-05-03 21:34:00,,,,,,,0
2016-05-04 12:42:00,-14.941992187499977,-14.313995742797829,0.1801250074058771,1.7042032065730275,,,16
2016-05-04 14:23:00,-13.251989746093727,-13.819293571920923,0.17976471255807316,1.481458769643962,,,17
2016-05-04 19:26:00,,,,,,,0
2016-05-04 21:07:00,,,,,,,0
2016-05-05 12:16:00,-21.324011230468727,-21.327691007915263,0.180105270523774,0.5710575686925177,,,19
2016-05-05 13:57:00,,,,,,,0
2016-05-05 19:00:00,,,,,,,0
2016-05-05 20:41:00,,,,,,,0
2016-05-06 11:50:00,-4.780004882812477,-4.598243433115385,0.17865306564739772,1.2084759373374299,,,49
2016-05-06 13:31:00,-2.7479919433593523,-2.710692545572897,0.17805333654085795,0.7476327151426875,,,75
2016-05-06 20:15:00,-7.448004150390602,-7.326147460937477,0.17842857539653778,0.5236283537194685,,,14
2016-05-06 21:56:00,-9.436010742187477,-9.47189628405448,0.18005128930776548,0.30935320660061566,,,39
2016-05-07 13:05:00,-0.38999023437497726,-0.590776209677415,0.17787097226227483,0.8282255691510666,,,62
2016-05-07 14:46:00,,,,,,,0
2016-05-07 19:49:00,-2.4039978027343523,-3.0080017089843523,0.17800000309944153,0.7397506864801736,,,5
2016-05-07 21:30:00,-7.825994873046852,-7.602641623360739,0.1791071482002735,0.9424802009769407,,,56
2016-05-08 12:39:00,-0.8599914550781023,-0.6000992386429402,0.17814815173178544,1.657863731262368,,,81
2016-05-08 14:20:00,-1.2720092773437273,-1.3058819506541681,0.17819277457444063,1.577332461108065,,,83
2016-05-08 19:23:00,-4.415991210937477,-4.380684606040347,0.17826829632607902,1.0660642922355665,,,82
2016-05-08 21:04:00,,,,,,,0
2016-05-09 12:13:00,-0.38001098632810226,-0.7411554886122644,0.17806779984700477,1.8024248095623248,,,59
2016-05-09 13:53:00,0.04400024414064774,0.009380877459534531,0.17822222577200997,1.1534099588557514,,,81
2016-05-09 20:37:00,-4.991003417968727,-4.873836950353677,0.17832432808102788,0.8672710151028684,,,74
2016-05-09 22:18:00,,,,,,,0
2016-05-10 11:46:00,-1.1140045166015398,-1.0920710972376924,0.17800000309944153,1.9912576898666168,,,28
2016-05-10 13:27:00,0.5079895019531477,0.5347632137346068,0.17824691718007313,2.0430573405006354,,,81
2016-05-10 20:11:00,,,,,,,0
2016-05-10 21:52:00,-20.265997314453102,-20.48542742047988,0.18000000715255737,0.34694946112844166,,,7
2016-05-11 13:01:00,-0.10599365234372726,0.026001271893903777,0.17809677748910843,1.4277552917464786,,,62
2016-05-11 14:42:00,-0.07001342773435226,-0.2876957748875384,0.17809091237458316,0.8124688857013891,,,66
2016-05-11 19:45:00,-0.7439941406249773,-0.8363746643066179,0.1781500034034252,1.0065071578595262,,,80
2016-05-11 21:26:00,-1.2739929199218523,-1.5897742531516315,0.17922727831385352,1.1601125922789912,,,44
2016-05-12 12:38:00,0.5020080566406477,1.3862387048192772,0.17812048527131596,2.2096118980447335,,,83
2016-05-12 14:16:00,-0.11798706054685226,0.21676847017732825,0.17835897818589821,1.394653910405124,,,78
2016-05-12 19:19:00,-2.4350036621093523,-2.188841985887052,0.17861290756733186,0.8757673794884696,,,62
2016-05-12 21:00:00,-3.0480102539062273,-2.9224121093749886,0.17800000309944153,0.15382568337094799,,,5
2016-05-13 12:09:00,-7.764013671874977,-7.566736949573851,,0.41753854794217193,,,11
2016-05-13 13:50:00,-7.638006591796852,-7.638403320312477,,0.00079345703125,,,15
2016-05-13 20:34:00,-7.889990234374977,-7.820393880208314,,0.25934627808320565,,,15
2016-05-13 22:15:00,-8.350012207031227,-8.350673421223917,,0.0009350980789617023,,,9
2016-05-14 11:43:00,,,,,,,0
2016-05-14 13:24:00,-7.863989257812477,-7.680813778147979,,0.39570426200408315,,,17
2016-05-14 20:08:00,-7.996008300781227,-7.996008300781227,,0.0,,,15
2016-05-14 21:49:00,-8.299993896484352,-8.096219550238686,,0.45745354697647367,,,18
2016-05-15 12:57:00,-7.866003417968727,-7.866853550502185,,0.0009816484941055474,,,14
2016-05-15 14:38:00,-7.963995361328102,-7.887424577985485,,0.27497716238943953,,,14
2016-05-15 19:41:00,-7.967993164062477,-7.967993164062477,,0.0,,,18
2016-05-15 21:22:00,,,,,,,0
2016-05-16 12:35:00,,,,,,,0
2016-05-16 14:12:00,-7.926000976562477,-7.846005014272805,,0.27885971499600254,,,13
2016-05-16 19:15:00,-7.952001953124977,-7.881467692057242,,0.2639150389446325,,,15
2016-05-16 20:56:00,,,,,,,0
2016-05-17 20:30:00,,,,,,,0
2016-05-17 22:11:00,-11.623999023437477,-11.621178921786225,,0.005646709082381773,,,22
2016-05-18 11:39:00,-8.579000854492165,-8.579000854492165,,0.0009918212890625,,,4
2016-05-18 13:20:00,,,,,,,0
2016-05-18 20:04:00,-7.583990478515602,-7.256520803351123,,0.48202264255977073,,,19
2016-05-18 21:45:00,-7.781988525390602,-7.7061199188232195,,0.2980280295694078,,,16
2016-05-19 12:54:00,0.30800781250002274,0.9099030285346998,0.1781707351527563,1.9407491561545804,,,82
2016-05-20 12:27:00,-0.6839965820312273,-0.3996161827674314,0.17807692633225367,0.9312407422192179,,,52
2016-05-20 14:08:00,-0.6479858398437273,-0.5887977013221075,0.17796923449406257,1.0936023880195502,,,65
2016-05-20 19:11:00,-2.1959899902343523,-2.0422151838029663,0.1776785762714488,0.6712145564726613,,,56
2016-05-20 20:52:00,-3.6239990234374773,-3.317722291584232,0.1780253199836876,0.9964903417592675,,,79
2016-05-21 12:01:00,-7.261999511718727,-7.252099907107436,0.17809756427276424,0.22376661261188893,,,41
2016-05-21 13:42:00,-6.288000488281227,-5.76408742268876,0.17808333660165468,1.2861155604200305,,,48
2016-05-21 20:26:00,-7.168005371093727,-7.448449198404944,0.17800000309944153,1.1757206841885903,,,36
2016-05-21 22:07:00,-8.755987548828102,-8.681306052694481,0.17800000309944153,0.5492411789830954,,,49
2016-05-22 11:35:00,-9.130010986328102,-9.083067159449797,0.17808510965489327,1.4249951489588766,,,47
2016-05-22 13:16:00,-4.209997558593727,-4.149066260553127,0.17806451935921946,1.7320356632481317,,,62
2016-05-22 20:00:00,-15.551000976562477,-16.85466952853733,0.180111116833157,2.002065370357742,,,18
2016-05-22 21:41:00,,,,,,,0
2016-05-23 12:50:00,,,,,,,0
2016-05-23 14:31:00,-3.5940002441406023,-3.4028420725176147,0.1781935518787753,0.5528090358592924,,,31
2016-05-23 19:34:00,-5.566015624999977,-5.191923373353234,0.178156866162431,1.191021643964512,,,51
2016-05-23 21:15:00,-6.405004882812477,-6.392000122070272,0.17824000358581543,1.0710036172723438,,,50
2016-05-24 12:24:00,-13.284002685546852,-13.081031145368286,0.17985714950731824,1.2779622816653362,,,70
2016-05-24 14:05:00,-6.847998046874977,-6.80265728676153,0.17816438699421816,1.7884694745482466,,,73
2016-05-24 19:08:00,-2.2680114746093523,-1.889407153839727,0.17800000309944153,1.0697033284510935,,,47
2016-05-24 20:49:00,,,,,,,0
2016-05-25 11:58:00,,,,,,,0
2016-05-25 13:39:00,,,,,,,0
2016-05-25 20:22:00,-4.732000732421852,-4.615724182128872,0.17812500335276127,1.5300890580893698,,,80
2016-05-25 22:03:00,,,,,,,0
2016-05-26 11:31:00,,,,,,,0
2016-05-26 13:12:00,-11.586004638671852,-11.586004638671852,0.18000000715255737,0.0,,,1
2016-05-26 19:56:00,-15.230017089843727,-15.069122314453125,0.17800000309944153,0.7932758078802654,,,25
2016-05-26 21:37:00,-17.977995300292946,-17.63313765092326,0.17959091541442004,0.6329707413240906,,,44
2016-05-27 12:46:00,0.5259948730468977,0.8314235142299253,0.17742857762745448,0.5898291094546183,,,7
2016-05-27 14:27:00,-0.04801025390622726,-0.08269602457681913,0.17725000716745853,1.5794779629791451,,,72
2016-05-27 19:30:00,-6.70000305175779,-6.70000305175779,0.18000000715255737,2.3520050048828125,,,2
2016-05-27 21:11:00,-14.027990722656227,-14.027990722656227,0.18000000715255737,0.0,,,1
2016-05-28 12:20:00,-15.535986328124977,-15.462317697625394,0.17994737507481323,1.2268808043036308,,,38
2016-05-28 14:01:00,-14.599996948242165,-14.687766676682656,0.17800000309944153,0.3512538083704436,,,26
2016-05-28 19:04:00,-10.713995361328102,-10.73661123422471,0.17800000309944153,0.7088033517659754,,,26
2016-05-28 20:45:00,-12.836004638671852,-10.242179731889166,0.17827273092486642,4.601397886862398,,,22
2016-05-29 11:54:00,-0.7399963378906023,-0.38199821920954946,0.17800000309944153,1.112812361831965,,,51
2016-05-29 13:35:00,-4.776007080078102,-5.680829934512872,0.17800000309944153,2.369781333427685,,,17
2016-05-29 20:19:00,,,,,,,0
2016-05-29 22:00:00,,,,,,,0
2016-05-30 11:28:00,,,,,,,0
2016-05-30 13:09:00,-4.243994140624977,-4.946936035156227,0.17800000309944153,1.4478089060208044,,,15
2016-05-30 19:53:00,-12.725988769531227,-12.703094827903897,0.17860377790792933,0.3807308464163507,,,53
2016-05-30 21:34:00,-12.561987304687477,-12.348249661192597,0.17800000309944153,0.6055056929706886,,,49
2016-06-01 12:16:00,,,,,,,0
2016-06-01 13:57:00,-14.347998046874977,-14.347998046874977,0.18000000715255737,0.0,,,2
2016-06-02 11:50:00,1.8550048828125227,3.329002732497031,0.1776153909472319,3.532328659990164,,,78
2016-06-02 13:31:00,0.42499694824221024,1.4013333051632912,0.17825641387548202,2.3684274678792887,,,78
2016-06-02 20:15:00,-0.38599243164060226,0.11879251414336522,0.17817241724195151,1.7035254326380094,,,58
2016-06-02 21:56:00,0.6880126953125227,1.5418489432629485,0.17740741464090937,2.218288368804389,,,81
2016-06-03 13:05:00,0.6440063476562727,1.9052506510416833,0.17776000479857126,2.9414297812108403,,,75
2016-06-03 14:46:00,,,,,,,0
2016-06-03 19:49:00,0.5510040283203352,1.1701410202753095,0.17719048439037233,1.3505445342301299,,,84
2016-06-03 21:30:00,0.21401367187502274,1.0518212427066942,0.17726583118680156,2.188514159937801,,,79
